bairro,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,preco_venda
Parque Mandaqui,Casa de dois andares,75.0,2.0,2.0,2.0,1.0,343000
Vila Leopoldina,Apartamento,151.0,2.0,3.0,3.0,3.0,1116500
Campo Belo,Apartamento,67.0,1.0,0.0,3.0,1.0,455000
Perdizes,Apartamento,47.0,2.0,1.0,2.0,1.0,437500
Vila Beatriz,Apartamento,70.0,2.0,0.0,2.0,1.0,230999
Centro,Apartamento,44.0,1.0,1.0,1.0,1.0,253355
Jardins,Flat,23.0,1.0,1.0,1.0,1.0,164500
Santana,Flat,50.0,1.0,1.0,1.0,1.0,189000
Jardim Paulista,Apartamento,190.0,3.0,2.0,2.0,2.0,1645000
Morumbi,Apartamento,152.0,4.0,2.0,4.0,3.0,840000
Vila Clementino,Apartamento,69.0,2.0,1.0,2.0,1.0,754600
Parque Munhoz,Condomínio,65.0,2.0,0.0,2.0,1.0,251999
Vila Andrade,Apartamento,145.0,2.0,1.0,2.0,2.0,696500
Vila Suzana,Apartamento,373.0,5.0,3.0,4.0,4.0,965999
Saúde,Apartamento,75.0,2.0,1.0,3.0,1.0,367500
Vila Formosa,Apartamento,64.0,1.0,0.0,3.0,1.0,218400
Centro,Kitnet,43.0,1.0,1.0,0.0,1.0,271245
Cidade Satélite Santa Bárbara,Apartamento,24.0,1.0,0.0,1.0,0.0,83300
Itaim Bibi,Flat,29.0,1.0,1.0,1.0,1.0,220500
Cambuci,Casa,248.0,3.0,1.0,3.0,2.0,623000
Vila Sofia,Apartamento,76.0,2.0,1.0,3.0,0.0,343000
Vila Paulo Silas,Apartamento,54.0,1.0,0.0,2.0,1.0,196000
Vila Graciosa,Apartamento,69.0,2.0,1.0,3.0,1.0,270300
Vila Santana,Casa,220.0,1.0,0.0,2.0,4.0,489999
Jardim Paulista,Flat,36.0,1.0,1.0,1.0,1.0,227500
Água Fria,Casa de dois andares,210.0,0.0,3.0,3.0,5.0,665000
Parada Inglesa,Apartamento,72.0,2.0,1.0,3.0,1.0,455000
Vila Dom Pedro I,Apartamento,59.0,2.0,1.0,2.0,1.0,308000
Aclimação,Apartamento,59.0,2.0,1.0,2.0,1.0,406000
Vila Clementino,Apartamento,147.0,3.0,1.0,3.0,2.0,819000
Santa Cecilia,Apartamento,237.0,3.0,2.0,3.0,1.0,1365000
Moema,Flat,30.0,1.0,1.0,1.0,1.0,224000
Jardim das Bandeiras,Apartamento,1.0,1.0,1.0,2.0,1.0,595000
Alto da Lapa,Apartamento,100.0,2.0,1.0,3.0,2.0,874300
Campo Belo,Apartamento,156.0,3.0,1.0,3.0,2.0,805000
Mirandópolis,Apartamento,90.0,0.0,3.0,3.0,2.0,595000
Jardim Prudência,Casa de dois andares,130.0,4.0,3.0,3.0,3.0,630000
Campo Belo,Apartamento,70.0,2.0,1.0,1.0,1.0,560000
Vila Prado,Casa de dois andares,180.0,3.0,1.0,3.0,3.0,521499
República,Apartamento,44.0,1.0,0.0,1.0,0.0,244999
Perdizes,Casa de dois andares,145.0,0.0,0.0,3.0,2.0,595000
Parque Ipê,Condomínio,73.0,0.0,2.0,2.0,1.0,230999
Vila Mascote,Apartamento,52.0,1.0,0.0,2.0,1.0,286300
Jaraguá,Apartamento,53.0,1.0,0.0,2.0,1.0,230999
Vila Regente Feijo,Apartamento,280.0,5.0,4.0,4.0,5.0,3010000
Parque Novo Mundo,Apartamento,60.0,2.0,1.0,2.0,1.0,266000
Vila Pompeia,Apartamento,72.0,2.0,0.0,2.0,0.0,665000
Parada Inglesa,Casa de dois andares,120.0,2.0,1.0,4.0,2.0,371000
Paraisópolis,Apartamento,53.0,1.0,0.0,1.0,1.0,171650
Jardim Bonfiglioli,Casa de dois andares,76.0,3.0,1.0,3.0,4.0,482999
Caxingui,Casa,618.0,5.0,3.0,3.0,6.0,1225000
Jardim Umarizal,Apartamento,52.0,1.0,0.0,2.0,1.0,150500
Morumbi,Apartamento,51.0,1.0,0.0,2.0,1.0,262500
Jardim Ester Yolanda,Apartamento,52.0,1.0,0.0,2.0,1.0,230999
Perdizes,Casa de dois andares,210.0,4.0,1.0,3.0,2.0,1050000
Conjunto Residencial José Bonifácio,Apartamento,65.0,1.0,0.0,3.0,1.0,125999
Tremembé,Apartamento,48.0,0.0,0.0,2.0,1.0,196000
Santana,Flat,36.0,1.0,0.0,1.0,1.0,237299
Jardim Ampliação,Apartamento,160.0,3.0,2.0,4.0,2.0,489999
Chora Menino,Casa,165.0,3.0,3.0,3.0,2.0,475999
Vila Isa,Apartamento,100.0,3.0,1.0,3.0,2.0,475999
Moema,Apartamento,127.0,3.0,1.0,3.0,1.0,766500
Liberdade,Casa,456.0,0.0,0.0,3.0,1.0,503817
Barra Funda,Apartamento,107.0,2.0,1.0,3.0,2.0,698740
Jardim Bonfiglioli,Condomínio,148.0,3.0,2.0,5.0,4.0,700000
Parque Vitória,Casa,150.0,4.0,1.0,3.0,2.0,525000
Saúde,Apartamento,64.0,2.0,1.0,2.0,1.0,336000
Jardim Leonor,Apartamento,60.0,1.0,0.0,2.0,1.0,220500
Vila Carrão,Casa de dois andares,300.0,4.0,2.0,9.0,2.0,1116500
Vila Andrade,Apartamento,199.0,4.0,3.0,3.0,3.0,1190000
Vila Antônio,Condomínio,114.0,2.0,0.0,2.0,1.0,301000
Jaguare,Apartamento,67.0,2.0,1.0,3.0,2.0,346500
Parada Inglesa,Casa,80.0,1.0,0.0,2.0,0.0,244999
Vila Carmosina,Casa,135.0,1.0,1.0,3.0,5.0,250029
Vila Mariza Mazzei,Casa,300.0,4.0,4.0,4.0,4.0,1470000
Jardim Vila Formosa,Casa de dois andares,140.0,1.0,0.0,2.0,2.0,350000
Chácara Santo Antônio (Zona Leste),Casa de dois andares,130.0,4.0,3.0,3.0,2.0,441000
Vila Ester (Zona Norte),Apartamento,90.0,2.0,1.0,2.0,1.0,385000
Vila Romana,Apartamento,65.0,2.0,0.0,2.0,1.0,343000
Santa Cecília,Apartamento,96.0,0.0,1.0,3.0,1.0,630000
Campos Elíseos,Apartamento,55.0,2.0,1.0,1.0,0.0,265930
Morumbi,Apartamento,211.0,3.0,3.0,3.0,3.0,1232000
Lauzane Paulista,Apartamento,58.0,2.0,1.0,2.0,1.0,320600
República,Apartamento,200.0,3.0,1.0,4.0,1.0,647500
Pinheiros,Apartamento,278.0,1.0,4.0,4.0,4.0,3430000
Chácara Belenzinho,Casa de dois andares,170.0,1.0,1.0,3.0,2.0,420000
Tatuapé,Apartamento,40.0,1.0,0.0,1.0,1.0,279300
Água Branca,Apartamento,100.0,0.0,1.0,3.0,2.0,627900
Paraíso do Morumbi,Apartamento,715.0,7.0,5.0,7.0,9.0,4094999
Vila Cruzeiro,Apartamento,84.0,2.0,1.0,2.0,2.0,606900
Aclimação,Apartamento,100.0,0.0,1.0,3.0,2.0,595000
Jardim São Luís,Casa,150.0,1.0,1.0,3.0,20.0,616000
